Name	Taste	Reference	SMILES	Canonical SMILES	Sweet
Theobromine	Bitter	Rojas et al. (2017)	Cn1cnc2c1c(=O)[nH]c(=O)n2C	Cn1cnc2c1c(=O)[nH]c(=O)n2C	False
Picrocrocin	Bitter	Rojas et al. (2017)	OCC1OC(OC2CC(=C(C(C2)(C)C)C=O)C)C(C(C1O)O)O	OCC1OC(OC2CC(=C(C(C2)(C)C)C=O)C)C(C(C1O)O)O	False
Glycerol	Sweet	Rojas et al. (2017)	OCC(CO)O	OCC(CO)O	True
Saccharin derivative 2	Sweet	Rojas et al. (2017)	Clc1ccc2c(c1)S(=O)(=O)NC2=O	Clc1ccc2c(c1)S(=O)(=O)NC2=O	True
Saccharin derivative 3	Tasteless	Rojas et al. (2017)	BrCCN1C(=O)c2c(S1(=O)=O)cccc2	BrCCN1C(=O)c2c(S1(=O)=O)cccc2	False
3-nitro-o-toluidine	Tasteless	Rojas et al. (2017)	O=N(=O)c1cccc(c1C)N	O=N(=O)c1cccc(c1C)N	False
3-nitro-p-toluidine	Tasteless	Rojas et al. (2017)	Nc1ccc(c(c1)N(=O)=O)C	Nc1ccc(c(c1)N(=O)=O)C	False
2-amino-4-nitro-propoxybenzene	Sweet	Rojas et al. (2017)	CCCOc1ccc(cc1N)N(=O)=O	CCCOc1ccc(cc1N)N(=O)=O	True
2-nitro-4-amino-propoxybenzene	Tasteless	Rojas et al. (2017)	CCCOc1ccc(cc1N(=O)=O)N	CCCOc1ccc(cc1N(=O)=O)N	False
2,4-dinitro-propoxybenzene	Bitter	Rojas et al. (2017)	CCCOc1ccc(cc1N(=O)=O)N(=O)=O	CCCOc1ccc(cc1N(=O)=O)N(=O)=O	False
Dulcin (p-ethoxyphenylurea)	Sweet	Rojas et al. (2017)	CCOc1ccc(cc1)NC(=O)N	CCOc1ccc(cc1)NC(=O)N	True
4-Ethoxyphenylthiourea	Bitter	Rojas et al. (2017)	CCOc1ccc(cc1)NC(=S)N	CCOc1ccc(cc1)NC(=S)N	False
o-ethoxyphenylurea	Tasteless	Rojas et al. (2017)	CCOc1ccccc1NC(=O)N	CCOc1ccccc1NC(=O)N	False
Dihydroquercetin 3-acetate 4'-(methylether) (3)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1Oc2cc(O)cc(c2C(=O)C1OC(=O)C)O	COc1ccc(cc1O)C1Oc2cc(O)cc(c2C(=O)C1OC(=O)C)O	True
Flavan (4)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1CCc2c(O1)cccc2	COc1ccc(cc1O)C1CCc2c(O1)cccc2	True
1,3-benzodioxane (6)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1OCc2c(O1)cccc2	COc1ccc(cc1O)C1OCc2c(O1)cccc2	True
1,4-benzodioxane (7)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1COc2c(O1)cccc2	COc1ccc(cc1O)C1COc2c(O1)cccc2	True
Bibenzyl derivative (8)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)CCc1ccccc1	COc1ccc(cc1O)CCc1ccccc1	True
1,4-benzodioxin (9)	Tasteless	Rojas et al. (2017)	COc1ccc(cc1O)C1=COc2c(O1)cccc2	COc1ccc(cc1O)C1=COc2c(O1)cccc2	False
3-(3Hydroxy-4-methoxyphenyl)-1,5-dihydro-2,4-benzodioxepine (12)	Tasteless	Rojas et al. (2017)	COc1ccc(cc1O)C1OCc2c(CO1)cccc2	COc1ccc(cc1O)C1OCc2c(CO1)cccc2	False
2-(3-hydroxy-4-methoxyphenyl)-1,3-benzodioxole (13)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1Oc2c(O1)cccc2	COc1ccc(cc1O)C1Oc2c(O1)cccc2	True
Compound 23	Tasteless	Rojas et al. (2017)	COc1ccc(cc1O)c1cc2cccc(c2c(=O)o1)O	COc1ccc(cc1O)c1cc2cccc(c2c(=O)o1)O	False
Compound 24	Tasteless	Rojas et al. (2017)	COc1ccc(cc1O)c1cc(=O)c2c(o1)cccc2O	COc1ccc(cc1O)c1cc(=O)c2c(o1)cccc2O	False
2-(3-Hydroxy-4-methoxyphenyl)-4-H-1,3-benzodithiine (10a)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1SCc2c(S1)cccc2	COc1ccc(cc1O)C1SCc2c(S1)cccc2	True
2-(3-Hydroxy-4-methoxyphenyl)-4H-1,3-benzoxathiine (10c)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1SCc2c(O1)cccc2	COc1ccc(cc1O)C1SCc2c(O1)cccc2	True
2-(3-Hydroxy-4-methoxyphenyl)-4H-1,3-benzodithiole (10d)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1Sc2c(S1)cccc2	COc1ccc(cc1O)C1Sc2c(S1)cccc2	True
7,8-Dimethyl-3-(3-hydroxy-4-methoxyphenyl)-1,5-dihydro-2,4-benzodithiepine (10f)	Tasteless	Rojas et al. (2017)	COc1ccc(cc1O)C1SCc2c(CS1)cccc2	COc1ccc(cc1O)C1SCc2c(CS1)cccc2	False
2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzoxathiine (15a)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1CSc2c(O1)cccc2	COc1ccc(cc1O)C1CSc2c(O1)cccc2	True
2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzodithiine (15b)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1CSc2c(S1)cccc2	COc1ccc(cc1O)C1CSc2c(S1)cccc2	True
2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzoxathiin-6-ol (15d)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O	COc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O	True
2-(3-Hydroxy-4-methylthiophenyl)-2,3-dihydro-1,4-benzoxathiin-6-ol (15e)	Tasteless	Rojas et al. (2017)	CSc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O	CSc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O	False
Sulfone	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1Oc2ccccc2S(=O)(=O)C1	COc1ccc(cc1O)C1Oc2ccccc2S(=O)(=O)C1	True
Haematoxylin	Sweet	Rojas et al. (2017)	Oc1cc2CC3(C(c2cc1O)c1ccc(c(c1OC3)O)O)O	Oc1cc2CC3(C(c2cc1O)c1ccc(c(c1OC3)O)O)O	True
9-Methoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-6a,10-diol (4)	Sweet	Rojas et al. (2017)	COc1cc2CC3(C(c2cc1O)c1ccccc1OC3)O	COc1cc2CC3(C(c2cc1O)c1ccccc1OC3)O	True
10-Methoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-6a,9-diol (5)	Tasteless	Rojas et al. (2017)	COc1cc2c(cc1O)CC1(C2c2ccccc2OC1)O	COc1cc2c(cc1O)CC1(C2c2ccccc2OC1)O	False
Compound 20	Sweet	Rojas et al. (2017)	COc1ccc(cc1OC(=O)Nc1ccccc1)C1OCc2c(S1)cccc2	COc1ccc(cc1OC(=O)Nc1ccccc1)C1OCc2c(S1)cccc2	True
Compound 21	Sweet	Rojas et al. (2017)	COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2	COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2	True
Compound 25	Tasteless	Rojas et al. (2017)	COc1ccc(c(c1O)NC(=O)c1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2	COc1ccc(c(c1O)NC(=O)c1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2	False
Compound 26	Sweet	Rojas et al. (2017)	COc1ccc(c(c1O)C=Cc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2	COc1ccc(c(c1O)C=Cc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2	True
Compound 27	Tasteless	Rojas et al. (2017)	COc1ccc(c(c1O)C=CCc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2	COc1ccc(c(c1O)C=CCc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2	False
Compound 28	Tasteless	Rojas et al. (2017)	COc1cc(N(=O)=O)c(cc1O)C1OCc2c(S1)cccc2	COc1cc(N(=O)=O)c(cc1O)C1OCc2c(S1)cccc2	False
Compound 29	Tasteless	Rojas et al. (2017)	ON=C1Cc2ccccc2OC1c1ccc(c(c1)O)OC	ON=C1Cc2ccccc2OC1c1ccc(c(c1)O)OC	False
Compound 2	Tasteless	Rojas et al. (2017)	O=C(c1ccccc1C(=O)O)c1ccccc1	O=C(c1ccccc1C(=O)O)c1ccccc1	False
Compound 4	Sweet	Rojas et al. (2017)	CCOc1ccc(cc1)C(=O)c1ccccc1C(=O)O	CCOc1ccc(cc1)C(=O)c1ccccc1C(=O)O	True
Compound 5	Tasteless	Rojas et al. (2017)	CCCOc1ccc(cc1)C(=O)c1ccccc1C(=O)O	CCCOc1ccc(cc1)C(=O)c1ccccc1C(=O)O	False
Compound 6	Tasteless	Rojas et al. (2017)	O=C(c1ccccc1C(=O)O)c1ccc(cc1)Oc1ccccc1	O=C(c1ccccc1C(=O)O)c1ccc(cc1)Oc1ccccc1	False
Compound 8	Tasteless	Rojas et al. (2017)	CSc1ccc(cc1)C(=O)c1ccccc1C(=O)O	CSc1ccc(cc1)C(=O)c1ccccc1C(=O)O	False
Compound 9	Sweet	Rojas et al. (2017)	O=C(c1ccccc1C(=O)O)c1ccc(cc1)N(C)C	O=C(c1ccccc1C(=O)O)c1ccc(cc1)N(C)C	True
Compound 11	Tasteless	Rojas et al. (2017)	O=C(c1ccccc1C(=O)O)c1ccc(cc1)C(=O)O	O=C(c1ccccc1C(=O)O)c1ccc(cc1)C(=O)O	False
Compound 13	Tasteless	Rojas et al. (2017)	O=C(c1ccccc1C(=O)O)c1ccc(cc1)c1ccccc1	O=C(c1ccccc1C(=O)O)c1ccc(cc1)c1ccccc1	False
2-(3,4-Dihydroxybenzoyl)benzoic Acid (14)	Sweet	Rojas et al. (2017)	O=C(c1ccccc1C(=O)O)c1ccc(c(c1)O)O	O=C(c1ccccc1C(=O)O)c1ccc(c(c1)O)O	True
2-(4-Hydroxy-2-methoxybenzoyl)benzoic Acid (19)	Tasteless	Rojas et al. (2017)	COc1ccc(c(c1)O)C(=O)c1ccccc1C(=O)O	COc1ccc(c(c1)O)C(=O)c1ccccc1C(=O)O	False
Compound 22	Tasteless	Rojas et al. (2017)	COc1ccc(cc1)Sc1ccccc1C(=O)O	COc1ccc(cc1)Sc1ccccc1C(=O)O	False
2-(4-Methoxyphenylthio) benzoic Acid S-Oxide (23)	Sweet	Rojas et al. (2017)	COc1ccc(cc1)S(=O)c1ccccc1C(=O)O	COc1ccc(cc1)S(=O)c1ccccc1C(=O)O	True
Compound 24	Tasteless	Rojas et al. (2017)	COc1ccc(cc1)C(=O)c1ccccc1	COc1ccc(cc1)C(=O)c1ccccc1	False
Compound 25	Tasteless	Rojas et al. (2017)	COc1ccc(cc1)C(=O)c1ccccc1C(=O)OC	COc1ccc(cc1)C(=O)c1ccccc1C(=O)OC	False
2-Hydroxymethylphenyl-4-methoxyphenylmethanol (26)	Tasteless	Rojas et al. (2017)	COc1ccc(cc1)C(c1ccccc1CO)O	COc1ccc(cc1)C(c1ccccc1CO)O	False
3-(4-Methoxyphenyl)benzo[2]furan-1-one (28)	Tasteless	Rojas et al. (2017)	COc1ccc(cc1)C1OC(=O)c2c1cccc2	COc1ccc(cc1)C1OC(=O)c2c1cccc2	False
Compound 29	Tasteless	Rojas et al. (2017)	COc1ccc(cc1)C(=O)C(=CC(=O)O)C	COc1ccc(cc1)C(=O)C(=CC(=O)O)C	False
3-Methoxy-1,3,5-estratrien-4-ol (4)	Sweet	Rojas et al. (2017)	COc1cc2CCC3C(c2cc1O)CCC1(C3CCC1)C	COc1cc2CCC3C(c2cc1O)CCC1(C3CCC1)C	True
Substituted pterocarpan (5)	Tasteless	Rojas et al. (2017)	COc1cc2OC3C(c2cc1O)COc1c3cccc1	COc1cc2OC3C(c2cc1O)COc1c3cccc1	False
Spiro[(4-H-1,3-benzodithian)-2,1'-(5'-methoxy-6'hydroxy-[1H]-2',3'-dihydroindene)] (6)	Sweet	Rojas et al. (2017)	COc1cc2CCC3(c2cc1O)SCc1c(S3)cccc1	COc1cc2CCC3(c2cc1O)SCc1c(S3)cccc1	True
Spiro[(4-H-1,3-benzodithian)-2,1'-(5'-hydroxy-6'-methoxy-[1H]-2',3'-dihydroindene)] (7)	Tasteless	Rojas et al. (2017)	COc1cc2c(cc1O)CCC12SCc2c(S1)cccc2	COc1cc2c(cc1O)CCC12SCc2c(S1)cccc2	False
2-Phenoxymethyl-2H-7,8-dihydrobenzopyran (9)	Tasteless	Rojas et al. (2017)	COc1cc2CCOC(c2cc1O)COc1ccccc1	COc1cc2CCOC(c2cc1O)COc1ccccc1	False
Phyllodulcin	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1OC(=O)c2c(C1)cccc2O	COc1ccc(cc1O)C1OC(=O)c2c(C1)cccc2O	True
Compound 4	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1OCc2c(S1)cccc2	COc1ccc(cc1O)C1OCc2c(S1)cccc2	True
Compound 6	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1COc2c(S1)cccc2	COc1ccc(cc1O)C1COc2c(S1)cccc2	True
Compound 9	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1SCC23C(O1)CC(C3(C)C)CC2	COc1ccc(cc1O)C1SCC23C(O1)CC(C3(C)C)CC2	True
2-[3-(4-nitrophenoxycarboxy)phenyl]-3,1-benzoxathiane (25)	Sweet	Rojas et al. (2017)	O=C(Oc1cc(ccc1O)C1OCc2c(S1)cccc2)Oc1ccc(cc1)N(=O)=O	O=C(Oc1cc(ccc1O)C1OCc2c(S1)cccc2)Oc1ccc(cc1)N(=O)=O	True
2-[3-(4-nitrophenylcarbonylmethoxy)-4-methoxyphenyl]-3,1-benzoxathiane (26)	Sweet	Rojas et al. (2017)	O=C(c1ccc(cc1)N(=O)=O)COc1cccc(c1)C1OCc2c(S1)cccc2	O=C(c1ccc(cc1)N(=O)=O)COc1cccc(c1)C1OCc2c(S1)cccc2	True
2-[3-(4-nitrophenylcarbamoyloxy-4-methoxy)phenyl]-3,1-benzodioxane (27)	Sweet	Rojas et al. (2017)	COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(O1)cccc2	COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(O1)cccc2	True
3-(3-Hydroxy-4-methoxyphenyl)-1-(3-carboxyphenyl)propan-1-one (33)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)CCC(=O)c1cccc(c1)C(=O)O	COc1ccc(cc1O)CCC(=O)c1cccc(c1)C(=O)O	True
Compound 34	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1Cc2cc(O)cc(c2C(=O)C1OC(=O)C)O	COc1ccc(cc1O)C1Cc2cc(O)cc(c2C(=O)C1OC(=O)C)O	True
2-(3-hydroxy-4-methoxyphenoxymethyl)benzoic acid (40)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)OCc1ccccc1C(=O)O	COc1ccc(cc1O)OCc1ccccc1C(=O)O	True
Compound 42	Sweet	Rojas et al. (2017)	COc1ccc(cc1)C(=O)C=CC(=O)O	COc1ccc(cc1)C(=O)C=CC(=O)O	True
Dihydroquercetin 4'-(methyl ether)	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1Oc2cc(O)cc(c2C(=O)C1O)O	COc1ccc(cc1O)C1Oc2cc(O)cc(c2C(=O)C1O)O	True
Dihydroquercetin	Tasteless	Rojas et al. (2017)	Oc1cc2OC(c3ccc(c(c3)O)O)C(C(=O)c2c(c1)O)O	Oc1cc2OC(c3ccc(c(c3)O)O)C(C(=O)c2c(c1)O)O	False
Compound II or Hydrangenol	Tasteless	Rojas et al. (2017)	Oc1ccc(cc1)C1OC(=O)c2c(C1)cccc2O	Oc1ccc(cc1)C1OC(=O)c2c(C1)cccc2O	False
Compound III	Bitter	Rojas et al. (2017)	COc1cc(ccc1OC)C1OC(=O)c2c(C1)cccc2O	COc1cc(ccc1OC)C1OC(=O)c2c(C1)cccc2O	False
Compound V	Sweet	Rojas et al. (2017)	COc1ccc(cc1OC(=O)C)C1OC(=O)c2c(C1)cccc2OC(=O)C	COc1ccc(cc1OC(=O)C)C1OC(=O)c2c(C1)cccc2OC(=O)C	True
Compound VI	Tasteless	Rojas et al. (2017)	Oc1cc(ccc1O)C1OC(=O)c2c(C1)cccc2O	Oc1cc(ccc1O)C1OC(=O)c2c(C1)cccc2O	False
Compound VII	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)C1OC(=O)c2c(C1)cccc2	COc1ccc(cc1O)C1OC(=O)c2c(C1)cccc2	True
Compound IX	Tasteless	Rojas et al. (2017)	Oc1cccc(c1)C1OC(=O)c2c(C1)cccc2	Oc1cccc(c1)C1OC(=O)c2c(C1)cccc2	False
Compound XI	Tasteless	Rojas et al. (2017)	O=C1OC(Cc2c1cccc2)c1ccc(c(c1)O)O	O=C1OC(Cc2c1cccc2)c1ccc(c(c1)O)O	False
Compound XIV	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)CCCc1ccccc1	COc1ccc(cc1O)CCCc1ccccc1	True
Compound XV	Tasteless	Rojas et al. (2017)	COc1ccc(cc1O)CCCCc1ccccc1	COc1ccc(cc1O)CCCCc1ccccc1	False
Compound XVII	Tasteless	Rojas et al. (2017)	COc1ccc(cc1O)CC(c1ccccc1)C(=O)O	COc1ccc(cc1O)CC(c1ccccc1)C(=O)O	False
Compound XVIII	Bitter	Rojas et al. (2017)	COc1ccc(cc1O)CC(c1ccccc1)C	COc1ccc(cc1O)CC(c1ccccc1)C	False
Compound XIX	Bitter	Rojas et al. (2017)	OCC(c1ccccc1)Cc1ccc(c(c1)O)OC	OCC(c1ccccc1)Cc1ccc(c(c1)O)OC	False
Compound XXI	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)CNc1ccccc1	COc1ccc(cc1O)CNc1ccccc1	True
Compound XXII	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)COc1ccccc1	COc1ccc(cc1O)COc1ccccc1	True
Compound XXIII	Sweet	Rojas et al. (2017)	COc1ccc(cc1O)CSc1ccccc1	COc1ccc(cc1O)CSc1ccccc1	True
