name	orig_taste	reference	smiles	can-smiles	taste	orig_idx	EA(eV)	IP(eV)	CNS	dip^2/V	CIQPlogS	RuleOfThree	RuleOfFive	PSA	HumanOralAbsorption	PercentHumanOralAbsorption	SAfluorine	SAamideO	#stars	#amine	#amidine	#acid	#amide	#rotor	#rtvFG	#metab	#NandO	#ringatoms	#in34	#in56	#noncon	#nonHatm	QPpolrz	QPlogPC16	QPlogPoct	QPlogPw	QPlogPo/w	QPlogS	QPlogHERG	QPPCaco	QPlogBB	QPPMDCK	QPlogKp	QPlogKhsa	dipole	SASA	FOSA	FISA	PISA	WPSA	volume	donorHB	accptHB	ACxDN^.5/SA	glob	MW	AlogP	RB	PSA	Estate	MR	Polar	Num aromatic rings	RingCount	ChiralCenterCount	HeavyAtomCount	Total charge
Sodium saccharin	Sweet	Rojas et al. (2017)	C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]	O=C1[N-]S(=O)(=O)c2c1cccc2.[Na+]	True	1318	1.212	10.602	-1.0	0.0235489	-1.5819999999999999	0.0	0.0	59.59	2.0	67.428	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	9.0	0.0	9.0	1.0	12.0	16.843	5.997999999999999	9.971	9.262	-0.125	-1.324	-3.477	200.72400000000002	-0.815	89.29	-4.235	-0.718	3.552	343.76	0.0	178.562	163.325	1.8730000000000002	535.67	1.0	5.0	0.014544999999999999	0.9279153	182.1766	0.9744	0	59.59	34.918	38.5965	19.647000000000002	1	2	0	12	-1
Sorbitol	Sweet	Rojas et al. (2017)	OCC(C(C(C(CO)O)O)O)O	OCC(C(C(C(CO)O)O)O)O	True	874	-2.181	10.720999999999998	-2.0	0.0233614	-0.34	0.0	1.0	121.38	1.0	28.461	0.0	0.0	4.0	0.0	0.0	0.0	0.0	11.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	12.0	11.199000000000002	6.931	17.646	18.613	-3.0789999999999997	-0.083	-3.022	65.458	-1.959	25.974	-4.7	-1.0859999999999999	3.775	383.154	153.276	229.87900000000002	0.0	0.0	610.09	6.0	10.2	0.0652082	0.9079338	182.1718	-2.9402	5	121.38	44.332	38.4036	15.606	0	0	4	12	0
Xylitol	Sweet	Rojas et al. (2017)	OCC(C(C(CO)O)O)O	OCC(C(C(CO)O)O)O	True	2636	-2.207	10.839	-2.0	0.0356783	-0.397	0.0	0.0	101.15	2.0	51.411	0.0	0.0	3.0	0.0	0.0	0.0	0.0	9.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	10.0	9.507	5.894	14.85	15.707	-1.886	-0.344	-2.83	96.37799999999999	-1.651	39.459	-4.566	-1.0290000000000001	4.372	346.824	134.66299999999998	212.16099999999997	0.0	0.0	535.725	5.0	8.5	0.054801800000000005	0.9197789000000001	152.1458	-2.4295	4	101.15	36.999	32.4411	13.134	0	0	2	10	0
Stevioside	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O	True	465	-0.485	9.763	-2.0	0.0178709	-3.747	2.0	3.0	294.98	1.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	20.0	3.0	12.0	18.0	34.0	0.0	34.0	30.0	56.0	65.998	22.913	54.606	44.559	-2.603	-2.05	-4.851	1.214	-4.944	0.349	-7.146	-1.595	6.155	998.207	569.99	412.49	15.727	0.0	2120.038	11.0	28.25	0.093863	0.7995403	804.8722	-1.7289	10	294.98	149.995	186.1487	75.809	0	7	21	56	0
Steviolbioside	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O	True	148	-1.006	9.857999999999999	-2.0	0.014993200000000002	-4.105	2.0	3.0	218.66	1.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0	0.0	14.0	2.0	8.0	13.0	28.0	0.0	28.0	25.0	45.0	55.003	18.503	41.455	32.233000000000004	-0.223	-3.198	-2.7769999999999997	1.6540000000000001	-3.65	0.62	-6.318	-1.008	5.122000000000001	862.1310000000001	515.553	335.44199999999995	11.136	0.0	1750.1270000000002	8.0	19.75	0.06479460000000001	0.8146511	641.7237	-0.5023	7	218.66	119.83	151.4397	61.638000000000005	0	6	16	45	-1
Rebaudioside A	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O	True	472	-0.7140000000000001	9.746	-2.0	0.012944999999999998	-3.298	2.0	3.0	374.13	1.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	26.0	4.0	15.0	23.0	40.0	0.0	40.0	35.0	67.0	74.149	26.756	66.624	56.813	-4.956	-0.5720000000000001	-5.0969999999999995	0.193	-6.4110000000000005	0.048	-8.144	-2.522	5.599	1114.384	608.002	496.708	9.673	0.0	2421.4179999999997	14.0	36.75	0.12339189999999998	0.7825462	967.0128	-3.4758	13	374.13	183.16	218.562	89.23	0	8	26	67	0
Rebaudioside C	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(C)C(C(C1O)O)O	True	1377	-0.675	9.922	-2.0	0.012457	-3.7239999999999998	2.0	3.0	353.9	1.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	24.0	4.0	14.0	22.0	40.0	0.0	40.0	35.0	66.0	75.13	26.335	64.538	53.965	-4.171	-1.1840000000000002	-5.112	0.307	-6.074	0.079	-7.947	-2.249	5.484	1113.6580000000001	629.064	475.527	9.067	0.0	2413.994	13.0	35.05	0.113477	0.781455	951.0134	-2.5876	12	353.9	177.66	217.0177	88.59299999999999	0	8	26	66	0
Rebaudioside D	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2OC2OC(CO)C(C(C2O)O)O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2OC2OC(CO)C(C(C2O)O)O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O	True	1607	-0.93	9.947000000000001	-2.0	0.0172084	-2.781	2.0	3.0	453.28	1.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	32.0	5.0	18.0	28.0	46.0	0.0	46.0	40.0	78.0	80.44	29.183000000000003	78.337	68.69	-6.96	1.548	-4.518	0.054000000000000006	-6.903	0.012	-8.651	-3.123	6.7860000000000005	1140.495	579.4490000000001	554.839	6.207000000000001	0.0	2675.719	17.0	45.25	0.1635874	0.8172699000000001	1129.1534	-5.2227	16	453.28	216.325	250.9753	102.65100000000001	0	9	31	78	0
Dulcoside A	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	True	1621	-0.674	9.856	-2.0	0.028074400000000003	-4.157	2.0	3.0	274.75	1.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	18.0	3.0	11.0	17.0	34.0	0.0	34.0	30.0	55.0	67.748	22.941999999999997	52.79600000000001	41.799	-1.8119999999999998	-3.0780000000000003	-5.249	1.9409999999999998	-4.863	0.58	-6.943	-1.385	7.736000000000001	1033.82	627.32	390.996	15.504000000000001	0.0	2131.729	10.0	26.55	0.08121189999999999	0.7748331999999999	788.8728	-0.8407	9	274.75	144.495	184.6044	75.172	0	7	21	55	0
Glycyrrhizin	Sweet	Rojas et al. (2017)	OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C	OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C	True	1904	0.387	10.339	-2.0	0.028155	-7.148	2.0	3.0	275.53	1.0	0.0	0.0	0.0	11.0	0.0	0.0	3.0	0.0	12.0	2.0	9.0	16.0	34.0	0.0	34.0	29.0	58.0	74.062	23.090999999999998	46.976000000000006	32.677	1.954	-5.62	0.16	0.006	-5.359	0.002	-8.93	-0.6679999999999999	7.857	1053.813	568.5790000000001	467.917	17.317	0.0	2192.805	6.0	21.3	0.049509899999999996	0.7745835	819.9083	0.0617	7	275.53	162.997	191.9961	77.972	0	7	19	58	-3
Hernandulcin	Sweet	Rojas et al. (2017)	CC(=CCCC(C1CCC(=CC1=O)C)(O)C)C	CC(=CCCC(C1CCC(=CC1=O)C)(O)C)C	True	162	0.4	9.472000000000001	0.0	0.0358275	-3.446	1.0	0.0	37.3	3.0	100.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	7.0	2.0	6.0	0.0	6.0	3.0	17.0	28.035	7.56	9.797	2.387	4.074	-4.654	-4.103	2411.558	-0.32799999999999996	1281.057	-2.069	0.618	5.752000000000001	536.529	425.458	64.706	46.36600000000001	0.0	923.461	0.0	1.75	0.0	0.8547723	236.3499	3.3393	4	37.3	38.584	72.7535	27.864	0	1	2	17	0
Fructose	Sweet	Rojas et al. (2017)	OCC1OC(C(C1O)O)(O)CO	OCC1OC(C(C1O)O)(O)CO	True	2598	-2.1959999999999997	10.812000000000001	-2.0	0.0179945	-0.5870000000000001	0.0	0.0	110.38	2.0	50.821000000000005	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	1.0	4.0	6.0	5.0	0.0	5.0	4.0	12.0	12.267000000000001	6.2989999999999995	15.562000000000001	16.044	-1.771	-0.72	-2.906	81.93799999999999	-1.607	33.11	-4.895	-0.9520000000000001	3.21	364.43	144.836	219.59400000000002	0.0	0.0	572.613	5.0	8.3	0.050927099999999996	0.9150777	180.1559	-2.5636	2	110.38	41.748999999999995	36.3608	14.832	0	1	4	12	0
Glucose	Sweet	Rojas et al. (2017)	OCC1OC(O)C(C(C1O)O)O	OCC1OC(O)C(C(C1O)O)O	True	1027	-2.197	10.362	-2.0	0.0105061	-0.28	0.0	0.0	110.38	2.0	46.967	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	1.0	4.0	6.0	6.0	0.0	6.0	5.0	12.0	12.464	6.351	16.645	18.160999999999998	-2.227	-1.041	-2.7119999999999997	70.342	-1.556	28.075	-5.119	-0.872	2.4290000000000003	355.029	128.447	226.583	0.0	0.0	561.487	5.0	10.2	0.0642423	0.9271009	180.1559	-2.5134	1	110.38	41.665	35.9234	14.832	0	1	5	12	0
Xylose	Sweet	Rojas et al. (2017)	OC1COC(C(C1O)O)O	OC1COC(C(C1O)O)O	True	1544	-2.298	10.440999999999999	-1.0	0.008945100000000001	-0.309	0.0	0.0	90.15	2.0	58.097	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0	5.0	6.0	0.0	6.0	5.0	10.0	10.198	5.274	13.350999999999999	15.014000000000001	-1.713	-0.8590000000000001	-2.072	199.929	-0.953	86.83200000000001	-4.43	-0.763	2.056	303.615	124.87100000000001	178.74400000000003	0.0	0.0	472.76099999999997	4.0	8.5	0.05599199999999999	0.9666515999999999	150.1299	-2.0027	0	90.15	34.332	29.9609	12.36	0	1	4	10	0
Maltose	Sweet	Rojas et al. (2017)	OCC1OC(O)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	OCC1OC(O)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	True	352	-1.6030000000000002	10.638	-2.0	0.013777700000000002	0.11699999999999999	2.0	2.0	189.53	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	12.0	2.0	7.0	11.0	12.0	0.0	12.0	10.0	23.0	23.019000000000002	10.988	29.552	30.476	-3.6310000000000002	-1.271	-2.99	13.427	-2.595	4.687	-5.941	-1.138	3.563	503.31800000000004	200.891	302.427	0.0	0.0	921.49	8.0	18.7	0.1050858	0.9098778000000001	342.2965	-4.2603	4	189.53	74.83	68.3367	28.253	0	2	10	23	0
Lactulose	Sweet	Rojas et al. (2017)	OCC1OC(C(C1OC1OC(CO)C(C(C1O)O)O)O)(O)CO	OCC1OC(C(C1OC1OC(CO)C(C(C1O)O)O)O)(O)CO	True	77	-1.827	10.46	-2.0	0.08819980000000001	-0.384	2.0	2.0	189.53	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	13.0	2.0	7.0	11.0	11.0	0.0	11.0	9.0	23.0	23.933000000000003	11.293	29.831	28.651999999999997	-3.6310000000000002	-0.272	-3.741	7.865	-3.1430000000000002	2.6289999999999996	-6.297000000000001	-1.337	9.204	545.177	218.25599999999997	326.921	0.0	0.0	960.378	8.0	16.8	0.0871599	0.8634866	342.2965	-4.3105	5	189.53	74.914	68.7741	28.253	0	2	9	23	0
Lactosucrose	Sweet	Rojas et al. (2017)	OCC1OC(OC2(CO)OC(C(C2O)O)CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	OCC1OC(OC2(CO)OC(C(C2O)O)CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	True	1326	-1.5619999999999998	10.532	-2.0	0.0230553	0.022000000000000002	2.0	3.0	268.68	1.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	19.0	3.0	11.0	16.0	17.0	0.0	17.0	14.0	34.0	34.54	16.037	41.93	41.202	-5.41	-0.436	-4.302	0.758	-4.795	0.21	-7.696000000000001	-1.973	5.52	702.738	268.652	434.086	0.0	0.0	1321.685	11.0	25.3	0.11940519999999999	0.8288136	504.4371	-6.0574	8	268.68	108.079	101.1874	41.674	0	3	14	34	0
Naringin	Bitter	Rojas et al. (2017)	OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	False	2343	0.55	9.265	-2.0	0.0154483	-4.067	2.0	3.0	225.06	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	13.0	2.0	10.0	14.0	28.0	0.0	28.0	12.0	41.0	51.431000000000004	18.67	38.687	31.943	-1.251	-3.227	-6.057	5.138	-3.989	1.659	-5.91	-1.13	4.967	844.075	285.758	346.423	211.894	0.0	1596.931	7.0	19.3	0.06049580000000001	0.7827831000000001	580.5346	-0.4654	6	225.06	115.83200000000001	133.7296	60.192	2	5	11	41	0
Limonin	Bitter	Rojas et al. (2017)	O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C	O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C	False	2767	-0.14800000000000002	9.577	-1.0	0.0681344	-4.314	0.0	0.0	104.57	3.0	78.53399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	8.0	27.0	3.0	24.0	15.0	34.0	44.538000000000004	11.76	22.180999999999997	14.133	0.985	-1.885	-3.512	363.18800000000005	-0.645	165.54	-3.877	-0.799	9.182	609.945	335.735	151.405	122.806	0.0	1237.372	0.0	11.25	0.0	0.9138495999999999	470.5116	0.9432	1	104.57	79.583	112.8484	47.938	1	7	9	34	0
Poncirin	Bitter	Rojas et al. (2017)	OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	False	2549	0.552	9.234	-2.0	0.0250693	-4.363	2.0	3.0	214.06	1.0	8.818	0.0	0.0	5.0	0.0	0.0	0.0	0.0	13.0	2.0	10.0	14.0	28.0	0.0	28.0	12.0	42.0	52.86600000000001	18.254	37.505	29.96	-0.515	-3.4219999999999997	-6.05	21.267	-3.32	7.705	-4.774	-1.078	6.406000000000001	863.534	388.246	281.367	193.921	0.0	1637.065	6.0	19.3	0.0547461	0.7779104	594.5612	-0.2144	7	214.06	115.33200000000001	138.4987	62.027	2	5	11	42	0
Neoeriocitrin	Bitter	Rojas et al. (2017)	OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(c(c2)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(c(c2)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	False	1902	0.509	9.042	-2.0	0.021846099999999997	-4.027	2.0	3.0	245.29	1.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	14.0	2.0	11.0	15.0	28.0	0.0	28.0	12.0	42.0	49.805	18.712	40.341	33.889	-2.129	-2.7030000000000003	-5.472	1.229	-4.567	0.354	-7.242999999999999	-1.218	5.888999999999999	822.257	261.58	411.914	148.763	0.0	1587.394	8.0	20.05	0.06896870000000001	0.8003515999999999	596.534	-0.7328	6	245.29	121.499	135.4237	60.82899999999999	2	5	11	42	0
