name	orig_taste	reference	smiles	can-smiles	In Bitter Domain	taste	orig_idx	EA(eV)	IP(eV)	CNS	dip^2/V	CIQPlogS	RuleOfThree	RuleOfFive	PSA	HumanOralAbsorption	PercentHumanOralAbsorption	SAfluorine	SAamideO	#stars	#amine	#amidine	#acid	#amide	#rotor	#rtvFG	#metab	#NandO	#ringatoms	#in34	#in56	#noncon	#nonHatm	QPpolrz	QPlogPC16	QPlogPoct	QPlogPw	QPlogPo/w	QPlogS	QPlogHERG	QPPCaco	QPlogBB	QPPMDCK	QPlogKp	QPlogKhsa	dipole	SASA	FOSA	FISA	PISA	WPSA	volume	donorHB	accptHB	ACxDN^.5/SA	glob	MW	AlogP	RB	PSA	Estate	MR	Polar	Num aromatic rings	RingCount	ChiralCenterCount	HeavyAtomCount	Total charge
Sucrose	Non-bitter	Phyto-Dictionary	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@]1(CO)O[C@@H](O2)[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO	OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O	0.0	False	2033	-1.8019999999999998	10.623	-2.0	0.028593599999999997	-0.384	2.0	2.0	189.53	1.0	3.0180000000000002	0.0	0.0	4.0	0.0	0.0	0.0	0.0	13.0	2.0	8.0	11.0	11.0	0.0	11.0	9.0	23.0	22.291999999999998	10.972999999999999	28.406	28.232	-3.633	-0.18	-2.654	19.934	-2.4090000000000003	7.185	-5.5120000000000005	-1.042	5.127000000000001	491.325	206.995	284.33	0.0	0.0	919.365	8.0	16.8	0.09671310000000001	0.9306535	342.2965	-4.3105	5	189.53	74.914	68.7741	28.253	0	2	9	23	0
Fucoidan	Non-bitter	Phyto-Dictionary	[O-]S(=O)(=O)O[C@H]([C@@H]1C)[C@@H](O)[C@H](O)[C@H](O1)C	C[C@@H]1O[C@H](C)[C@H]([C@@H]([C@@H]1OS(=O)(=O)[O-])O)O	1.0	False	2796	0.415	10.616	-2.0	0.0031691999999999996	-1.011	0.0	0.0	124.5	2.0	50.401	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	1.0	3.0	7.0	6.0	0.0	6.0	5.0	15.0	18.744	6.9079999999999995	15.091	14.342	-0.6579999999999999	-1.206	-1.376	33.55	-1.368	16.32	-4.681	-1.0979999999999999	1.492	425.55400000000003	226.59099999999998	197.597	0.0	1.3659999999999999	702.3589999999999	3.0	9.1	0.037038	0.8979444999999999	241.2389	-1.8211	2	124.5	53.582	45.4635	19.118	0	1	5	15	-1
Amylose	Non-bitter	Phyto-Dictionary	OC[C@@H]1[C@@H](OC)[C@H](O)[C@@H](O)[C@H](O1)O[C@H]([C@H]2CO)[C@H](O)[C@@H](O)[C@H](O2)OC	OC[C@H]1O[C@H](OC)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)OC)O)O	0.0	False	789	-1.8090000000000002	10.645999999999999	-2.0	0.0309841	-0.135	0.0	2.0	167.53	2.0	13.592	0.0	0.0	4.0	0.0	0.0	0.0	0.0	12.0	2.0	6.0	11.0	12.0	0.0	12.0	10.0	25.0	28.052	11.08	28.254	27.339000000000002	-2.964	-0.941	-3.77	46.957	-2.36	18.139	-4.8839999999999995	-1.5290000000000001	5.696000000000001	578.769	333.67800000000005	245.09099999999998	0.0	0.0	1047.268	6.0	18.7	0.0791429	0.8617174000000001	370.3496	-3.4433	6	167.53	73.83	77.8391	31.923000000000002	0	2	10	25	0
D-Arabitol	Non-bitter	Phyto-Dictionary	OC[C@@H](O)C(O)[C@H](O)CO	OC[C@H](C([C@@H](CO)O)O)O	1.0	False	1142	-2.221	10.825999999999999	-2.0	0.0386823	-0.397	0.0	0.0	101.15	2.0	51.45399999999999	0.0	0.0	3.0	0.0	0.0	0.0	0.0	9.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	10.0	9.538	5.92	14.905	15.706	-1.879	-0.34299999999999997	-2.802	96.381	-1.645	39.461	-4.566	-1.025	4.556	346.501	134.341	212.16	0.0	0.0	536.495	5.0	8.5	0.0548529	0.9215200000000001	152.1458	-2.4295	4	101.15	36.999	32.4411	13.134	0	0	2	10	0
Dulcitol	Non-bitter	Phyto-Dictionary	OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO	OC[C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O	1.0	False	2651	-1.8330000000000002	11.052999999999999	-2.0	0.0219116	-0.34	0.0	1.0	121.38	1.0	24.948	0.0	0.0	4.0	0.0	0.0	0.0	0.0	11.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	12.0	11.427	7.101	17.8	18.761	-3.0869999999999997	-0.064	-3.082	41.901	-2.141	16.038	-5.077	-1.099	3.673	387.14	136.832	250.308	0.0	0.0	615.797	6.0	10.2	0.0645368	0.9041799	182.1718	-2.9402	5	121.38	44.332	38.4036	15.606	0	0	4	12	0
Erythritol	Non-bitter	Phyto-Dictionary	OC[C@H](O)[C@H](O)CO	OC[C@H]([C@H](CO)O)O	1.0	False	483	-2.319	10.901	-2.0	0.0483963	-0.42100000000000004	0.0	0.0	80.92	2.0	59.03	0.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	8.0	7.721	4.754	11.964	12.698	-1.5090000000000001	-0.16	-2.585	193.34799999999998	-1.2329999999999999	83.74700000000001	-4.17	-0.988	4.713	307.809	127.53299999999999	180.27599999999998	0.0	0.0	459.023	4.0	6.8	0.0441832	0.934916	122.1198	-1.9188	3	80.92	29.666	26.4786	10.662	0	0	2	8	0
Glycerol	Non-bitter	Phyto-Dictionary	OCC(O)CO	OCC(CO)O	1.0	False	950	-2.516	10.936	-1.0	0.0313369	-0.39899999999999997	0.0	0.0	60.69	2.0	65.61399999999999	0.0	0.0	7.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	6.0	6.006	3.5780000000000003	8.711	9.722000000000001	-1.19	0.081	-2.43	354.533	-0.878	161.281	-3.85	-0.982	3.469	270.539	118.03	152.509	0.0	0.0	384.074	3.0	5.1	0.032651299999999994	0.9445209000000001	92.0938	-1.4081	2	60.69	22.333000000000002	20.5161	8.19	0	0	0	6	0
myo-Inositol	Non-bitter	Phyto-Dictionary	O[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O	O[C@@H]1[C@H](O)[C@H](O)[C@@H]([C@H]([C@H]1O)O)O	0.0	False	1839	-2.088	10.59	-2.0	0.010659	-0.306	0.0	1.0	121.38	2.0	30.209	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	6.0	6.0	6.0	0.0	6.0	6.0	12.0	12.07	6.723	18.072	19.725	-2.364	-1.264	-2.5180000000000002	47.82	-1.645	18.5	-5.445	-0.7440000000000001	2.425	346.39599999999996	102.139	244.257	0.0	0.0	551.6419999999999	6.0	10.2	0.0721279	0.9390688	180.1559	-3.0642	0	121.38	43.998000000000005	35.775	14.832	0	1	6	12	0
D-Mannitol	Non-bitter	Phyto-Dictionary	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O	1.0	False	1087	-2.201	10.677999999999999	-2.0	0.0126732	-0.34	0.0	1.0	121.38	1.0	28.695999999999998	0.0	0.0	4.0	0.0	0.0	0.0	0.0	11.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	12.0	11.205	7.099	17.535	18.59	-3.0589999999999997	-0.08900000000000001	-2.7310000000000003	66.47	-1.882	26.409000000000002	-4.687	-1.031	2.781	375.79400000000004	146.618	229.176	0.0	0.0	610.251	6.0	10.2	0.06648539999999999	0.9258796999999999	182.1718	-2.9402	5	121.38	44.332	38.4036	15.606	0	0	4	12	0
(+)-Quercitol	Non-bitter	Phyto-Dictionary	O[C@H]1[C@@H](O)[C@H](O)C[C@@H](O)[C@@H]1O	O[C@@H]1C[C@@H](O)[C@@H]([C@@H]([C@H]1O)O)O	1.0	False	2566	-2.323	10.889000000000001	-2.0	0.0041004	-0.39899999999999997	0.0	0.0	101.15	2.0	51.294	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	5.0	6.0	0.0	6.0	6.0	11.0	12.049000000000001	6.103	15.485	16.585	-1.851	-0.9740000000000001	-2.523	92.48200000000001	-1.357	37.738	-4.984	-0.81	1.4809999999999999	339.53	125.48	214.051	0.0	0.0	535.06	5.0	8.5	0.055978999999999994	0.9387598	164.1565	-2.4911	0	101.15	38.165	34.6779	14.195	0	1	5	11	0
D-Sorbitol	Non-bitter	Phyto-Dictionary	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O	1.0	False	2156	-1.841	10.99	-2.0	0.031138299999999997	-0.34	0.0	1.0	121.38	1.0	25.518	0.0	0.0	4.0	0.0	0.0	0.0	0.0	11.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	12.0	11.390999999999998	7.062	17.895	18.737000000000002	-3.091	-0.067	-3.09	45.24	-2.114	17.423	-5.012	-1.1	4.376	386.971	140.174	246.797	0.0	0.0	614.896	6.0	10.2	0.064565	0.9036931999999999	182.1718	-2.9402	5	121.38	44.332	38.4036	15.606	0	0	4	12	0
Volemitol	Non-bitter	Phyto-Dictionary	OC[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO	OC[C@H]([C@H](C([C@@H]([C@@H](CO)O)O)O)O)O	0.0	False	1855	-1.9669999999999999	10.884	-2.0	0.0017814	-0.259	1.0	1.0	141.61	2.0	25.406999999999996	0.0	0.0	5.0	0.0	0.0	0.0	0.0	13.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	14.0	12.982000000000001	8.072000000000001	20.421	21.631	-2.628	-0.513	-3.259	31.465999999999998	-2.421	11.767999999999999	-5.126	-1.176	1.1059999999999999	421.42199999999997	157.997	263.425	0.0	0.0	686.7489999999999	7.0	11.9	0.07471	0.8932635	212.1977	-3.4509	6	141.61	51.665	44.3661	18.078	0	0	4	14	0
L-Aspartic acid	Non-bitter	Phyto-Dictionary	[O-]C(=O)[C@@H]([NH3+])CC([O-])=O	[O-]C(=O)C[C@@H](C(=O)[O-])[NH3+]	0.0	False	1229	-0.7879999999999999	10.682	-2.0	0.1186153	0.345	1.0	0.0	107.9	1.0	1.226	0.0	0.0	4.0	1.0	0.0	2.0	0.0	4.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	9.0	9.397	4.968999999999999	10.995999999999999	9.6	-3.886	-0.684	0.33799999999999997	0.6829999999999999	-1.173	0.335	-7.796	-1.197	7.327999999999999	304.323	54.856	249.467	0.0	0.0	452.76099999999997	3.0	4.0	0.022765900000000002	0.9370064	132.0947	-3.7122	3	107.9	41.167	20.155	9.798	0	0	1	9	-1
Glycyphyllin	Non-bitter	Phyto-Dictionary	c1cc(O)ccc1CCC(=O)c2c(cc(O)cc2O)O[C@H](O3)[C@H](O)[C@H](O)[C@@H](O)[C@@H]3C	Oc1cc(O)c(c(c1)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)C(=O)CCc1ccc(cc1)O	1.0	False	1828	0.278	9.166	-2.0	0.040549	-4.126	2.0	1.0	156.91	2.0	38.321999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	8.0	9.0	18.0	0.0	18.0	5.0	30.0	35.786	13.767999999999999	25.936999999999998	19.683	0.272	-2.376	-4.5280000000000005	18.643	-2.715	6.683	-5.053999999999999	-0.562	6.973	630.42	169.797	287.39599999999996	173.227	0.0	1199.1680000000001	5.0	10.8	0.038307	0.8658741	420.4099	1.6394	6	156.91	85.334	103.447	47.545	2	3	5	30	0
6-Methoxyaromadendrin 3-O-acetate	Non-bitter	Phyto-Dictionary	c1cc(O)ccc1[C@H]([C@H](C2=O)OC(=O)C)Oc(c23)cc(O)c(c3O)OC	COc1c(O)cc2c(c1O)C(=O)[C@@H]([C@H](O2)c1ccc(cc1)O)OC(=O)C	1.0	False	287	0.583	9.321	-2.0	0.0162571	-4.6610000000000005	0.0	0.0	122.52	3.0	74.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	6.0	8.0	16.0	0.0	16.0	2.0	26.0	34.348	11.193	18.272000000000002	12.332	1.761	-3.884	-5.006	114.48299999999999	-1.655	47.528999999999996	-4.118	-0.033	4.123	591.238	192.025	204.27700000000002	194.93599999999998	0.0	1045.752	2.0	6.75	0.0161457	0.8427306	360.3148	2.0082	4	122.52	74.169	87.3823	40.852	2	3	2	26	0
6-Methoxytaxifolin	Non-bitter	Phyto-Dictionary	COc(c1O)c(O)cc(c12)O[C@@H]([C@H](C2=O)O)c(c3)ccc(O)c3O	COc1c(O)cc2c(c1O)C(=O)[C@@H]([C@H](O2)c1ccc(c(c1)O)O)O	1.0	False	2804	0.5429999999999999	9.115	-2.0	0.05238240000000001	-3.895	1.0	0.0	136.68	2.0	56.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	7.0	8.0	16.0	0.0	16.0	2.0	24.0	29.589000000000002	10.991	20.473	15.645	0.335	-2.8760000000000003	-4.788	33.25	-2.2	12.49	-5.127999999999999	-0.413	7.044	548.078	109.991	260.9	177.187	0.0	947.115	4.0	7.2	0.026273599999999998	0.8509904	334.2776	1.3617	2	136.68	71.669	79.9249	37.733000000000004	2	3	2	24	0
Neoastilbin	Non-bitter	Phyto-Dictionary	C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O1)O[C@H](C2=O)[C@H](c(c3)ccc(O)c3O)Oc(c24)cc(O)cc4O	Oc1cc(O)c2c(c1)O[C@H]([C@@H](C2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1ccc(c(c1)O)O	1.0	False	2525	0.545	9.085	-2.0	0.0485277	-3.889	2.0	2.0	186.37	1.0	4.967	0.0	0.0	3.0	0.0	0.0	0.0	0.0	9.0	1.0	9.0	11.0	22.0	0.0	22.0	7.0	32.0	38.754	14.716	30.183000000000003	24.804000000000002	-1.103	-2.94	-5.152	3.81	-3.49	1.2009999999999998	-6.686	-0.758	7.712000000000001	669.716	137.605	360.116	171.99599999999998	0.0	1225.502	6.0	13.25	0.0484619	0.8269581	450.3928	0.5194	3	186.37	94.167	104.3307	48.045	2	4	7	32	0
Taxifolin-3-O-acetate	Non-bitter	Phyto-Dictionary	Oc1c(O)ccc(c1)[C@H]([C@H](C2=O)OC(=O)C)Oc(c23)cc(O)cc3O	CC(=O)O[C@@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1ccc(c(c1)O)O	1.0	False	2324	0.528	9.051	-2.0	0.0201473	-4.336	0.0	0.0	133.52	2.0	57.738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	6.0	8.0	16.0	0.0	16.0	2.0	25.0	32.446999999999996	11.433	19.43	14.213	0.882	-3.568	-5.021	27.039	-2.279	9.988999999999999	-5.331	-0.17300000000000001	4.484	573.42	106.726	270.369	196.326	0.0	997.919	3.0	6.75	0.020388800000000002	0.8422136	346.2883	1.7572	3	133.52	74.669	82.6132	39.016999999999996	2	3	2	25	0
Anethole	Non-bitter	Phyto-Dictionary	C/C=C/c1ccc(cc1)OC	C/C=C/c1ccc(cc1)OC	1.0	False	1775	0.053	8.637	1.0	0.0029024000000000003	-3.5780000000000003	0.0	0.0	9.23	3.0	100.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	6.0	0.0	6.0	0.0	11.0	18.838	5.109	5.629	2.13	3.167	-2.932	-4.042	9906.038	0.28600000000000003	5899.293000000001	-0.72	0.11900000000000001	1.3359999999999999	390.62300000000005	218.104	0.0	172.519	0.0	615.41	0.0	0.75	0.0	0.8957424999999999	148.2017	2.7676	2	9.23	22.834	47.881	21.483	1	1	0	11	0
Phyllodulcin	Non-bitter	Phyto-Dictionary	COc1c(O)cc(cc1)[C@H](OC2=O)Cc(c23)cccc3O	COc1ccc(cc1O)[C@@H]1OC(=O)c2c(C1)cccc2O	1.0	False	639	0.599	8.906	-2.0	0.059500800000000006	-4.169	0.0	0.0	75.99	3.0	85.992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	5.0	5.0	16.0	0.0	16.0	2.0	21.0	29.778000000000002	9.396	14.334000000000001	8.601	2.307	-3.847	-5.015	350.185	-1.018	159.144	-3.2289999999999996	0.105	7.278	524.27	137.459	153.07399999999998	233.737	0.0	890.2189999999999	1.0	4.25	0.008106499999999999	0.8536398000000001	286.2794	2.8211	2	75.99	54.501999999999995	75.0289	35.821999999999996	2	3	1	21	0
Perillaldehyde	Non-bitter	Phyto-Dictionary	C=C(C)[C@@H](CC1)CC=C1C=O	O=CC1=CC[C@H](CC1)C(=C)C	1.0	False	2455	0.27	10.008	0.0	0.0295611	-1.436	0.0	0.0	17.07	3.0	100.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	1.0	6.0	0.0	6.0	4.0	11.0	18.477	5.212000000000001	6.777	3.134	1.922	-2.151	-3.2430000000000003	1954.464	-0.151	1020.743	-2.469	-0.16699999999999998	4.323	389.941	250.68400000000003	74.33	64.92699999999999	0.0	632.053	0.0	2.0	0.0	0.9134163000000001	150.2176	2.6683	2	17.07	25.166999999999998	47.2721	18.052	0	1	1	11	0
Harpagoside	Non-bitter	Phyto-Dictionary	c1ccccc1\C=C\C(=O)O[C@@](C)(C[C@H]2O)[C@H]([C@]23O)[C@@H](OC=C3)O[C@H](O4)[C@H](O)[C@@H](O)[C@H](O)[C@H]4CO	OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@@]3([C@H]2[C@@](C)(OC(=O)/C=C/c2ccccc2)C[C@H]3O)O)[C@@H]([C@H]([C@@H]1O)O)O	1.0	False	0	0.7759999999999999	9.441	-2.0	0.0196925	-3.2880000000000003	0.0	2.0	175.37	2.0	24.578000000000003	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	3.0	6.0	11.0	21.0	0.0	21.0	11.0	35.0	45.84	17.034000000000002	33.471	27.499000000000002	-0.345	-3.06	-6.388	26.831	-3.1260000000000003	9.906	-4.208	-1.023	5.319	781.307	211.645	270.722	298.94	0.0	1436.454	6.0	16.35	0.0512592	0.7880213	494.4884	-2.0451	7	175.37	96.49799999999999	118.0009	50.478	1	4	10	35	0
